%time soc i_tot i_mcu i_rf i_pv v_pv real_i_pv i_batt v_batt i_air_quality_sensor i_methane_sensor i_temperature_sensor i_mic_click_sensor
199 0.999715314112 0.011 0.002 0.001 0 0 0 0.0259521151451 4.56801097603 0.002 0.002 0.002 0.002
200 0.99971531186 0.011 0.002 0.001 0 0 0 0.0259521152344 4.56801096031 0.002 0.002 0.002 0.002
201 0.999715309607 0.011 0.002 0.001 0 0 0 0.0259521153238 4.56801094458 0.002 0.002 0.002 0.002
202 0.999715307354 0.011 0.002 0.001 0 0 0 0.0259521154131 4.56801092886 0.002 0.002 0.002 0.002
203 0.999715305101 0.011 0.002 0.001 0 0 0 0.0259521155024 4.56801091313 0.002 0.002 0.002 0.002
204 0.999715302849 0.011 0.002 0.001 0 0 0 0.0259521155918 4.56801089741 0.002 0.002 0.002 0.002
205 0.999715300596 0.011 0.002 0.001 0 0 0 0.0259521156811 4.56801088168 0.002 0.002 0.002 0.002
206 0.999715298343 0.011 0.002 0.001 0 0 0 0.0259521157705 4.56801086596 0.002 0.002 0.002 0.002
207 0.99971529609 0.011 0.002 0.001 0 0 0 0.0259521158598 4.56801085023 0.002 0.002 0.002 0.002
208 0.999715293837 0.011 0.002 0.001 0 0 0 0.0259521159491 4.56801083451 0.002 0.002 0.002 0.002
209 0.999715291585 0.011 0.002 0.001 0 0 0 0.0259521160385 4.56801081878 0.002 0.002 0.002 0.002
210 0.999715289332 0.011 0.002 0.001 0 0 0 0.0259521161278 4.56801080306 0.002 0.002 0.002 0.002
211 0.999715287079 0.011 0.002 0.001 0 0 0 0.0259521162171 4.56801078733 0.002 0.002 0.002 0.002
212 0.999715284826 0.011 0.002 0.001 0 0 0 0.0259521163065 4.56801077161 0.002 0.002 0.002 0.002
213 0.999715282573 0.011 0.002 0.001 0 0 0 0.0259521163958 4.56801075588 0.002 0.002 0.002 0.002
214 0.999715280321 0.011 0.002 0.001 0 0 0 0.0259521164851 4.56801074016 0.002 0.002 0.002 0.002
